,Amsterdam Centraal,Rotterdam Centraal,Den Haag Centraal,Utrecht Centraal,Eindhoven Centraal,Tilburg Centraal,Almere Centrum,Groningen Centraal,Breda Centraal,Nijmegen Centraal,Leeuwarden Centraal,Maastricht Centraal,TU Delft Campus
Amsterdam Centraal,0.0,82.52,67.51,46.62,130.86,121.36,33.62,181.46,111.3,122.02,137.25,217.32,70.64
Rotterdam Centraal,77.42,0.0,21.95,56.78,114.03,81.88,97.73,246.37,49.92,117.15,204.98,219.2,15.72
Den Haag Centraal,62.61,24.51,0.0,61.26,140.34,108.19,86.15,233.99,76.23,140.31,190.18,245.52,12.62
Utrecht Centraal,46.34,56.2,60.81,0.0,91.69,82.18,40.44,189.08,72.13,90.06,160.93,178.15,63.81
Eindhoven Centraal,129.68,112.18,139.87,89.81,0.0,34.33,124.05,251.99,60.58,65.06,239.14,87.95,130.81
Tilburg Centraal,122.82,80.28,107.96,82.95,42.15,0.0,117.01,265.65,28.67,75.89,237.49,127.82,98.91
Almere Centrum,34.57,96.99,87.17,41.69,125.9,116.31,0.0,155.78,106.26,108.73,127.63,212.36,90.3
Groningen Centraal,181.69,246.26,234.29,190.96,254.38,254.29,155.7,0.0,255.53,206.92,64.53,397.92,237.42
Breda Centraal,111.92,50.35,78.03,72.05,62.55,30.4,106.1,254.75,0.0,94.84,226.59,148.22,68.98
Nijmegen Centraal,123.6,117.42,140.92,89.45,71.41,71.31,109.1,188.43,99.8,0.0,175.58,139.89,136.03
Leeuwarden Centraal,138.26,205.63,190.62,161.45,242.25,236.07,126.19,65.03,226.02,194.79,0.0,323.55,193.75
Maastricht Centraal,217.54,218.85,246.53,177.67,86.75,121.59,211.91,399.41,147.84,138.7,321.61,0.0,237.48
TU Delft Campus,67.01,15.66,11.63,65.46,131.5,99.34,90.55,238.39,67.39,134.62,194.58,236.67,0.0
