,Amsterdam Centraal,Rotterdam Centraal,Den Haag Centraal,Utrecht Centraal,Eindhoven Centraal,Tilburg Centraal,Almere Centrum,Groningen Centraal,Breda Centraal,Nijmegen Centraal,Leeuwarden Centraal,Maastricht Centraal,TU Delft Campus
Amsterdam Centraal,0.0,82.52,67.51,46.62,130.86,121.36,33.62,181.46,111.3,122.02,137.25,217.32,72.84
Rotterdam Centraal,77.42,0.0,21.95,56.78,114.28,82.13,97.73,246.37,50.17,117.41,204.98,219.45,12.69
Den Haag Centraal,62.62,24.51,0.0,61.27,140.35,108.19,86.15,233.99,76.24,140.31,190.18,245.52,14.83
Utrecht Centraal,46.34,56.2,60.81,0.0,91.69,82.18,40.44,189.08,72.13,90.06,160.93,178.15,66.01
Eindhoven Centraal,129.68,112.18,135.64,89.81,0.0,34.33,124.05,251.99,60.58,65.06,239.14,87.95,126.38
Tilburg Centraal,122.82,80.28,103.74,82.95,42.15,0.0,117.01,265.65,28.67,69.14,237.49,127.82,94.47
Almere Centrum,34.57,96.99,87.17,41.69,125.9,116.31,0.0,155.78,106.26,108.73,127.63,212.36,92.51
Groningen Centraal,181.69,246.26,234.29,190.96,254.38,254.29,155.7,0.0,255.53,206.92,64.53,397.92,239.63
Breda Centraal,111.92,50.35,73.81,72.05,62.55,30.4,106.1,254.74,0.0,94.84,226.59,148.22,64.54
Nijmegen Centraal,123.6,117.42,140.88,89.45,71.4,71.31,109.1,188.43,99.8,0.0,175.58,139.89,131.62
Leeuwarden Centraal,138.26,205.63,190.62,161.45,242.25,236.07,126.19,65.03,226.02,194.79,0.0,323.55,195.95
Maastricht Centraal,217.54,218.8,242.26,177.67,86.75,121.59,211.91,399.42,147.84,138.7,321.6,0.0,232.99
TU Delft Campus,68.13,12.4,12.66,65.33,128.24,96.09,91.66,239.5,64.13,131.37,195.69,233.41,0.0
