,Amsterdam Centraal,Rotterdam Centraal,Den Haag Centraal,Utrecht Centraal,Eindhoven Centraal,Tilburg Centraal,Almere Centrum,Groningen Centraal,Breda Centraal,Nijmegen Centraal,Leeuwarden Centraal,Maastricht Centraal,TU Delft Campus
Amsterdam Centraal,0.0,4050.03,3411.81,2650.71,6353.0,5734.43,1971.07,8165.0,5255.44,5745.15,6559.56,9475.48,3428.58
Rotterdam Centraal,4105.97,0.0,1640.87,3028.4,5914.1,4257.45,4582.65,10752.52,3045.46,5721.76,9150.64,8917.7,1119.72
Den Haag Centraal,3281.09,1553.31,0.0,3009.5,6548.53,4891.89,3900.56,10094.5,3679.89,6220.39,8325.76,9552.13,931.86
Utrecht Centraal,2543.26,2999.04,3089.05,0.0,4694.09,4075.52,2498.39,8668.26,3596.53,4362.93,7594.69,7816.57,3119.69
Eindhoven Centraal,6054.75,5538.57,6268.44,4427.29,0.0,2133.47,5743.26,11047.31,3317.95,3563.26,10623.09,4527.86,5747.29
Tilburg Centraal,5740.73,4072.27,4802.14,4113.28,2769.91,0.0,5421.8,11591.67,1851.65,4232.74,10518.1,5818.54,4280.99
Almere Centrum,2067.51,4644.47,4177.12,2459.81,6076.23,5454.19,0.0,7036.3,4975.2,5172.48,5962.73,9198.71,4193.88
Groningen Centraal,8030.14,10646.29,10139.75,8461.63,11311.15,11311.46,6876.56,0.0,10977.02,9171.12,3609.96,13321.27,10156.51
Breda Centraal,5397.0,3009.67,3739.54,3769.54,3712.63,2055.98,5078.06,11247.93,0.0,4874.26,10174.36,6761.26,3218.39
Nijmegen Centraal,5930.4,5735.32,6465.19,4420.85,4028.53,4028.84,5264.26,9238.09,4931.44,0.0,8813.87,6539.69,5944.03
Leeuwarden Centraal,6433.21,9144.57,8506.36,7461.29,11001.36,10455.67,5876.22,3743.44,9976.68,8861.33,0.0,13944.51,8523.12
Maastricht Centraal,9406.82,8740.14,9470.01,7779.36,4266.01,5447.86,9095.33,13156.62,6632.34,6303.15,13815.47,0.0,8948.85
TU Delft Campus,3532.92,1066.93,1067.82,3172.85,6062.15,4405.5,4152.39,10346.33,3193.51,5869.81,8577.59,9065.75,0.0
