City,Mean_Distance_to_Delft,Mean_Time_to_Delft,Roadtax_eur_per_month,Insurance_eur_per_month,ParkingPermit_eur_per_month
Amsterdam Centraal,70.48,59,22.33333333,65.05,6.22
Rotterdam Centraal,12.54,19,24.66666667,92.21,9.2
Den Haag Centraal,13.74,17,24.66666667,75.02,8.08
Utrecht Centraal,65.67,53,23.0,67.88,31.67
Eindhoven Centraal,127.31,99,23.0,57.4,11.39
Tilburg Centraal,95.28,73,23.0,57.4,13.33
Almere Centrum,92.08,70,23.0,60.99,0.0
Groningen Centraal,239.56,171,24.0,40.94,10.95
Breda Centraal,64.34,54,23.0,57.4,0.0
Nijmegen Centraal,131.5,99,24.66666667,50.51,1.0
Leeuwarden Centraal,195.82,143,24.66666667,37.41,10.33
Maastricht Centraal,233.2,151,23.33333333,54.91,29.0
