,Amsterdam Centraal,Rotterdam Centraal,Den Haag Centraal,Utrecht Centraal,Eindhoven Centraal,Tilburg Centraal,Almere Centrum,Groningen Centraal,Breda Centraal,Nijmegen Centraal,Leeuwarden Centraal,Maastricht Centraal,TU Delft Campus
Amsterdam Centraal,0.0,4050.03,3411.81,2650.71,6353.0,5734.43,1971.07,8165.03,5255.44,5745.15,6559.56,9475.48,3428.58
Rotterdam Centraal,4095.65,0.0,1626.28,3028.4,5914.1,4257.45,4582.65,10752.55,3045.46,5721.76,9136.04,8917.7,1105.12
Den Haag Centraal,3285.37,1553.31,0.0,3009.5,6548.53,4891.89,3900.56,10094.53,3679.89,6220.39,8325.76,9552.13,931.86
Utrecht Centraal,2547.53,2999.04,3089.05,0.0,4694.09,4075.52,2498.39,8668.29,3596.53,4362.93,7594.69,7816.57,3119.69
Eindhoven Centraal,6059.02,5538.57,6414.98,4427.29,0.0,2133.47,5743.26,11047.31,3317.95,3563.26,10623.09,4527.86,6065.56
Tilburg Centraal,5745.01,4077.48,4953.88,4113.28,2775.11,0.0,5421.8,11591.7,1856.85,4232.74,10518.1,5823.74,4604.47
Almere Centrum,2071.78,4644.47,4177.12,2460.15,6076.23,5454.19,0.0,7036.33,4975.2,5172.48,5962.73,9198.71,4193.88
Groningen Centraal,8034.41,10646.29,10139.75,8461.97,11312.91,11317.08,6876.56,0.0,10977.02,9172.88,3609.96,13319.33,10156.51
Breda Centraal,5401.27,3009.67,3886.08,3769.54,3712.63,2055.98,5078.06,11247.96,0.0,4874.27,10174.36,6761.26,3536.67
Nijmegen Centraal,5934.68,5735.32,6506.55,4420.85,4028.53,4032.71,5264.26,9238.09,4931.45,0.0,8813.87,6539.69,6262.31
Leeuwarden Centraal,6437.48,9144.57,8506.36,7462.7,11002.42,10456.74,5877.28,3743.47,9977.75,8862.39,0.0,13945.57,8523.12
Maastricht Centraal,9411.09,8701.55,9577.95,7779.36,4266.01,5447.86,9095.33,13156.39,6632.34,6303.15,13815.47,0.0,9228.54
TU Delft Campus,3537.2,1066.93,1067.82,3172.85,6062.15,4405.5,4152.39,10346.36,3193.51,5869.81,8577.59,9065.75,0.0
